id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
5221,AMG GT 63 S 4Matic+ Coupe AMG Speedshift MCT 9G,90000,Mercedes-benz,Amg Gt Coupe,100000,Petrol,Automatik,Obiliq,2020
5171,Audi,12900,Audi,A6,350000,Diesel,Automatik,,2011
5141,Vw,17900,Vw,Tiguan,299000,Diesel,Automatik,,2017
5097,Bmw,13499,Bmw,1er,220000,Diesel,Automatik,,2017
5088,PEUGEOT 3008 1.5d ACTIVE,19700,Peugeot,3008,147000,Diesel,Automatik,,2021
5061,Sandero dCi 75,7500,Dacia,Sandero,60000,Diesel,Manual,,2017
5014,Vw,20900,Vw,T-roc,235452,Diesel,Automatik,,2019
4980,Bmw,2500,Bmw,3er,390000,Diesel,Manuelles Getriebe,Malishevë,2006
4946,320d xDrive GT Aut.,29900,Bmw,3er,73948,Diesel,Automatik,,2019
4923,Passat 2.0 TDI SCR DSG,16900,Vw,Passat,227585,Diesel,Automatik,,2016
3282,Kodiaq 2.0 TDI 4x4 DSG,28000,Skoda,Kodiaq,117000,Diesel,Automatic,,2019
4894,Q3 2.0 TDI S tronic,16950,Audi,Q3,268500,Diesel,Automatik,,2015
4879,520d Aut.,13950,Bmw,5er,314202,Diesel,Automatik,,2014
4867,Mercedes-benz,26000,Mercedes-benz,Glc,234000,Diesel,Automatik,Gjilan,2017
4825,Qashqai 1.3 DIG-T MHEV Xtronic,20900,Nissan,Qashqai,136500,Petrol,Automatik,,2021
4795,Vw,25500,Vw,Golf Viii,175613,Diesel,Automatik,,2020
4775,Volvo,13999,Volvo,V60,268000,Diesel,Automatik,Fushe Kosove,2014
4732,C Class 2012 Automatik CDI,10500,Mercedes-benz,C-klasse,310000,Diesel,Automatic,,2012
4696,Citroen,2500,Citroen,Berlingo Pkw,225000,Diesel,Manuelles Getriebe,Ferizaj,2008
4676,T-Roc Cabriolet 1.5 TSI OPF DSG,35300,Vw,T-roc,8500,Petrol,Automatik,,2021
4663,A8 4.2 TDI DPF quattro tiptronic,19400,Audi,A8,231155,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2012
4653,Golf GTI Performance BlueMotion Technology DSG,17300,Vw,Golf Vii,135379,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2013
4642,335i xDrive Coupe Aut.,14000,Bmw,3er,232411,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2013
4632,Antara 2.0 CDTI 4x4,10800,Opel,Antara,62800,Diesel,Manuelles Getriebe,"Riedmattstrasse 8, 8153 Rümlang",2008
4612,Continental GTC Speed,75900,Bentley,Continental Gtc,46000,Petrol,Automatik,,2009
4596,595 C,17400,Fiat,500,61000,Petrol,Manuelles Getriebe,,2016
4586,E 200 Cabrio 9G-TRONIC,43400,Mercedes-benz,E-klasse,32600,Petrol,Automatik,,2018
4576,X5 xDrive30d,19400,Bmw,X5,262417,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2014
